Date,INFY,MARUTI,RELIANCE,SUNPHARMA,TCS,BPCL
23-07-2013,362.743744,1448.699951,450.504669,553.25,874.900024,117.583336
24-07-2013,363.575012,1416.050049,450.405609,563.625,891.400024,116.016663
25-07-2013,364.412506,1414,441.192932,547.650024,897.875,116.716667
26-07-2013,364.162506,1375.400024,440.895752,558.650024,887.25,116.783333
29-07-2013,365.149994,1348.199951,438.69165,569.25,889.599976,113.466667
30-07-2013,369.462494,1342.400024,424.64975,575.650024,896.150024,103.766663
31-07-2013,371.206238,1326.300049,431.930725,565.299988,907.75,107.916664
01-08-2013,371.831238,1340.300049,421.009247,568.25,907.700012,101.516663
02-08-2013,376.100006,1337.699951,424.64975,555.200012,922.924988,96.616669
05-08-2013,376.131256,1343.900024,426.730011,549.5,933.599976,93.949997
06-08-2013,373.418762,1331.949951,416.576263,538.299988,935.049988,87.150002
07-08-2013,370.418762,1330.849976,432.128845,522.049988,911.349976,91.216667
08-08-2013,370.568756,1385.050049,428.760773,505.700012,922.700012,92
12-08-2013,375.674988,1380.199951,418.854675,541.700012,907,94.616669
13-08-2013,385.450012,1396.949951,422.445648,547.450012,909.900024,95.349998
14-08-2013,383.706238,1391.199951,428.438843,550.549988,916.75,101.5
16-08-2013,372.299988,1325.099976,409.468658,542.450012,890.450012,96.73333
19-08-2013,375.625,1308.449951,406.273926,520.099976,888.724976,96.133331
20-08-2013,375.831238,1297.900024,408.799988,507.350006,868.200012,99.216667
21-08-2013,369.84375,1284.449951,388.121002,482.450012,858.900024,94.816666
22-08-2013,377.524994,1285.699951,399.26535,502.200012,889.474976,98.449997
23-08-2013,375.087494,1293,405.902435,507.350006,914.724976,100.366669
26-08-2013,378.837494,1308.150024,407.437897,517,921,101.766663
27-08-2013,382.006256,1260.25,397.853729,496.850006,919.400024,96.699997
28-08-2013,389.53125,1236.349976,402.088593,505.399994,953.950012,88.98333
29-08-2013,388.075012,1250.599976,418.656555,510.649994,973.549988,90.033333
30-08-2013,388.231262,1243.550049,422.916168,521.200012,1016.599976,91
02-09-2013,385.737488,1300,439.2117,528.450012,1028.425049,92.133331
03-09-2013,379.212494,1276.050049,411.59845,512.799988,1000.549988,88.98333
04-09-2013,389.087494,1276.5,420.687317,519.799988,1034.550049,90.283333
05-09-2013,375.600006,1299.599976,427.225342,518.599976,995.375,95.766663
06-09-2013,378.631256,1288.400024,429.924744,528.549988,994.400024,99.883331
10-09-2013,394.862488,1336.650024,440.994812,549.700012,993.950012,99.48333
11-09-2013,389.887512,1360.800049,439.707031,561.349976,996.900024,104.133331
12-09-2013,383.231262,1320.900024,433.589996,556.849976,983.950012,101.266663
13-09-2013,378.506256,1315.900024,432.401276,563.75,976.875,101.716667
16-09-2013,374.174988,1359.900024,426.829102,563.599976,951.275024,105.949997
17-09-2013,377.825012,1375.800049,425.04599,544.5,973.724976,104.566666
18-09-2013,377.143738,1401.849976,431.881195,549.299988,977.25,105.25
19-09-2013,377.375,1480,441.118622,557.900024,983.150024,112.133331
20-09-2013,374.393738,1467.25,436.809479,566.099976,975.150024,112.650002
23-09-2013,377.424988,1401.25,433.069916,557.950012,977.549988,107.800003
24-09-2013,376.887512,1410.800049,433.193756,556.150024,969.75,105.116669
25-09-2013,376.206238,1393.199951,420.538727,569,979.525024,101.833336
26-09-2013,376.537506,1387.550049,415.189423,581.299988,971.450012,103.066666
27-09-2013,375.825012,1366.949951,416.006683,589.849976,974.049988,109.533333
30-09-2013,376.625,1358.550049,407.338837,593.299988,963.900024,110.416664
01-10-2013,376.875,1380.199951,406.868286,590,974.525024,108.783333
03-10-2013,379.643738,1412.349976,419.498566,600.900024,1012.299988,111.766663
04-10-2013,377.049988,1428.5,423.188599,600.450012,1016.799988,113.816666
07-10-2013,377.731262,1410.199951,418.062195,604.5,1044.875,117.616669
08-10-2013,379.268738,1406.599976,418.507965,614.150024,1030.724976,113.900002
09-10-2013,388.731262,1398.5,426.408081,645.349976,1045.425049,113.416664
